1,174,171,98.0,صالح هاشم صالح الطائع,2987,2987,نورالدين خالد ادم عبدالحميد,1868,1868,الصالحين عبدالنبي محمد سعد,1577,1577,مفتاح عطية محمد الشاعري,1386,1386,رحيل جمعة رحيل حمد,1056,1056,عزت عباس صالح ادم,948,948,ارجاعي امرايف يونس سعيد,875,875,علي عبدالقادر منفور علي,865,865,عبدالفتاح بالعيد هودج حفالش,862,862,مجدي يونس بكار حسين,856,856,محمود علي المبروك صالح,843,843,مؤمن الامين مسعود ضيف الله,804,804,صافي محمد ابراهيم مفتاح,750,750,فرج المهدي علي ادهيم,692,692,زيدان يوسف سالم شعيب,688,688,امساعد محمد عبدالرازق هارون,588,588,صالح عبدالله ميمون عبدالجليل,588,588,سالم ميكائيل حسين فايز,584,584,حسين محمد عبيدة الحبوني,556,556,مجيد ادريس محمد البساط,527,527,عبدالباسط ابراهيم عبدالغني محمد,502,502,خليفة مفتاح عمر محمد,494,494,فيصل رزق عبدالسلام بوالرايقة,468,468,علي حسين حلمي علي,448,448,عبدالهادي اسماعيل عبدالرحمن محمد,443,443,حسين الشارف عبدالله محمد,431,431,ماهر سالم مؤمن الشاعري,376,376,محمد فضل الله فرج عثمان,248,248,علي سليمان صالح لامين,239,239,طارق المبروك الشريف العوامي,218,218,محي الدين محمد عبدالله الاخواني,216,216,هيوب عبدالستار هيوب عمر,206,206,مفتاح عمر حمد محمد,158,158,فرج يونس سليمان عبدالكريم,139,139,ادريس سعد عبدالعزيز احميدة,130,130,عبدالرازق حسن سعد زيدان,128,128,فرج عبدالله القذافي طاهر,117,117,نصر ابراهيم عبدالحفيظ بونعامة,83,83,بشير مفتاح محمد مفتاح,61,61,ابريك حماد علي ادهيم,51,51,محمد صالح محمود المسماري,24,24,عبدالسلام فتح الله محمد عليوة,8,8,احمد يوسف شعيب مصباح,7,7,ايمن عطية محمود الطائع,5,5,احمد جاد المولى ازقيم جادالله,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,81,79,97.0,عقيلة صالح عيسى اقويدر,866,866,طلال عبدالله موسى الميهوب,610,610,السنوسي سعيد عبدالمجيد بالقاسم,568,568,محمد فضل صالح ابراهيم,484,484,نزار امراجع فرج سالم,440,440,عمران حمد عبدالغني الكلوش,390,390,فتح الله محمد قرامي قرامي,364,364,فرج فيد الله المبروك الغيثي,345,345,عوض سليمان عوض الشوبكي,339,339,عبدالحميد سعيد عبدالكريم اشنيف,320,320,المبري نوري سعيد خليل,293,293,عبدالقادر صالح عبد ربه امنيسي,255,255,عبدالمنعم عمر يونس حمد,223,223,ناصر محمد عبدالله جبريل,160,160,عبدالله صالح السنوسي الكاسح,158,158,حمد سعد محمد ياسين,155,155,عبدالباسط سعيد سالم وافي,140,140,فتحي محمد ابومليحه محمد,122,122,توفيق عبدالسلام عبدالرواف المالح,99,99,خالد شعيب ارحيم العبيدي,99,99,رواش حمد عبد الرازق محمود,88,88,حماد سعد محمد اخويزيق,78,78,ابوبكر مفتاح عبدالرازق المنصوري,74,74,هاني عبدالمالك محمد مسعود,59,59,ابريك عبدالجواد محمد حسين,58,58,منصور ابراهيم سالم المشاي,50,50,محمد جبريل علي ابراهيم,32,32,عبد العزيز اشريح محمد علي,32,32,عماد ادم سالم ادم,27,27,سالم عثمان سالم ادم,21,21,عطية عبدالرحمن عبدالرازق عبد ربه,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,87,47,54.0,فرج الصفتي محمد عبدالسلام,968,968,حمد محمود حمد المزيني,898,898,علي صالح عبدالكريم الرفادي,528,528,خيرالله يونس عبد ربه التركاوي,501,501,ادريس عبدالقادر عبدالله عبدالخالق,451,451,هشام محمد السرواحي الامين,335,335,سعد بشير مفتاح الرفادي,312,312,عبدالحكيم فيصل محمد الغيثي,234,234,عمرو عبدالغني عبدالرحيم عزوز,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,61,58,95.0,نصرالدين مهنى غباشي مفتاح,563,563,المنتصر سعد عطية علي,559,559,سعد فرج سعد علي الدويلي,508,508,خليل مفتاح عبدالله خليل,451,451,مفتاح سليمان عطاياالله خليل الحاسي,428,428,فتحي عيسى فرج عبدالكريم,302,302,حسن عبدالرحيم علي موسى,294,294,عادل عبدالعزيز محمود سعيد بوعلجية,260,260,الناجي سعد عبدالله المرتضي,240,240,ابراهيم عبدالكريم ادم عبدو,211,211,عبدالله حسين المرتضي بوبكر,204,204,فوزي عبدالسلام محمد حسن,178,178,عبدالناصر حسين عبدالرازق المجدوب,164,164,سليمان طاهر عبداللطيف محمد عرعاز,162,162,صقر محمد موسى الفيتوري,142,142,عبدالسلام جبريل محمد عبدالجليل,105,105,مفتاح بوبكر ارحومة حسين,60,60,الفيتوري عمر الفيتوري عبدالرحمن,55,55,منصف خليفة محمد امبهدل الميار,52,52,محمد عثمان عطش المبروك,40,40,فكري سليم احمد حسن الخرش,29,29,نافع حمد محمد جمعة,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,136,130,95.0,ادم صالح ادم بوصخرة,1199,1199,ادريس عمران عبدالهادي ادم,1166,1166,عبدالمطلب ادريس ثابت حمد,954,954,موسى صالح ابراهيم الفرجاني,929,929,عيسى عبدالله يونس محمد الصغير,793,793,اشرف السعداوي بالحمد السعداوي,771,771,عبدالمولى محمد عبدالدائم صالح بوزهرة,724,724,سالم صالح عبدالرازق محمد الكواش,578,578,مفتاح طاهر ابراهيم بوبكر,551,551,صلاح الماوي حمد حسين,494,494,عطية مفتاح حمد خنيفر,439,439,عبدالحفيظ محمد عوض ابراهيم,437,437,صالح محمد حسين بوعصرانة,390,390,علاء الدين رافع عبدالواحد حسين بوصفيطة,374,374,مختار محمد يوسف المختار ليسير,358,358,عبدالسلام التواتي حسن السنوسي,355,355,عبدالمولى مسعود يوسف جودة,337,337,احمد فضيل سعد محمد بالتبن,291,291,محسن محمد سليمان عمر العلواني,274,274,ازقيبة مفتاح ازقيبة بوقفة,260,260,محمد عبدالله الطيف عبدالله بوعرقوب,235,235,يوسف عمر قويطين طاهر,228,228,عبدالله ادريس حمد محمد الخطابية,223,223,حمد عبدالسميع القاسي بالقاسم الخزعلي,205,205,محمد عطايا محمد المبروك,182,182,فيصل علي سعيد الغويل,176,176,مجدي فرج محمد عقيلة بونعيجة,172,172,سليمان مصطفى ابراهيم المصري,160,160,موسى علي محمد مجحود القرم,154,154,عادل سعيد حمد سعيد بوعجاج,140,140,عبدالرحمن علي محمد عبدالرحمن,139,139,مصطفى عطية سعد عبدالحفيظ الزايدي,137,137,محمد عبدالمجيد المبروك عبدالمجيد,125,125,عبدالباسط علي عيسى سعد الخرم,105,105,محمد سعيد علي علي الجويفي,95,95,محمد عبدالكريم يحيى الساكر,92,92,احمد مؤمن سليمان شعيب,90,90,بالقاسم علي محمد عيسى بوحويصة,79,79,باسم عثمان محمد انويقص,55,55,ادريس احمد محمود فضيل الزائدي,43,43,المبروك خليفة علي خليفة بوعباه,41,41,يونس بونعامة محمد المرتجع,37,37,توفيق عبدالسلام عيسى عمر جلغاف,36,36,عبدالمالك محمد علي محمد بوعلي,35,35,عبدالناصر فتحي محمود يوسف,28,28,عاطف الناجي خالد حمد,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,115,112,97.0,سليمان خطاب اسويكر عوض,1079,1079,عبدالمنعم جمعة سالم حسن,958,958,فرج عبدالله ادريس هاشم,947,947,حسين علي اسماعيل عبدالله,815,815,سعيد صالح سعد رحيل,656,656,خميس ابراهيم محمود محمد الهنكور,582,582,احمد خليفة محمد ادم بوهلالة,579,579,خالد ابراهيم سعد طيب,556,556,مخلص ادريس نوح عبدالله المسماري,415,415,عبدالكريم محمد منصور بوجدارية,373,373,عبدالرحمن محمد عبدالمولى الميهوب,340,340,حسن احمد صالح عيسى,318,318,صلاح عبدالله علي ابراهيم العسبلي,276,276,مراجع سعد محمد محمود,244,244,علي فتح الله محمد علي الشيخي,207,207,وائل عبدالوهاب صالح الهذمال,190,190,علي غنيوة مفتاح عون الرمحي,172,172,محمد نوري ابوبكر المداعي,166,166,محمد عطية علي عبدالله,165,165,معين محمد المبروك اقويدر,163,163,مصطفى امريمي مصطفى سعيد,154,154,بالعيد عبدالنبي حسن موسى,154,154,فضيل عبدالحميد عبدالجواد سعد,146,146,سالم مفتاح جبريل الغفير,144,144,بدر عبدالسلام طاهر محمد قندولة,131,131,مصطفى عبدالله محمد عطية,97,97,نادر نوري سعيد مفتاح الحضيري,66,66,عمر عبدالله يونس عبدالكريم,66,66,عمر حماد صالح مدينه,64,64,عبدالله موسى سليمان عبدربه شحوط,39,39,علي عبدالسلام علي سليمان,13,13,فضل الله  بوبكر  المبروك  ادم,6,6,بالقاسم محمد بوبكر علي الجارد,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,72,69,95.0,خليفة صالح سعيد محمد الدغاري,1125,1125,مبارك علي محمد عبدالقادر,776,776,عبدالفتاح اخليفة ادم علي,760,760,عمر سالم ادريس ابوبكر بوخويدم,600,600,خالد فرج حمد عبدالجواد بوعوينة,595,595,عبدالحميد يونس عبدالكريم سالم,408,408,اسماعيل رجب الصالحين حقار,383,383,توفيق سعيد مفتاح مشاضي,370,370,مجدي سليمان حسين محمد,363,363,جمعة عبدالله حسن علي,359,359,صلاح محمد حمد صالح,329,329,عبدالحفيظ محمد عبدالجواد مصطفى الدرسي,323,323,المبروك بدر حامد ارجيعة,192,192,احميدة محمد حمد عطية الله,181,181,عبدالسلام صالح يحيى حمد,137,137,علي عبدالغني عبدالسلام اخفير,117,117,موسى محمد موسى حسين بوالشامخة,90,90,حمد مسعود ذاوود بالحمد,42,42,صالح سعد يونس محمود,9,9,عبدالمطلوب حسين محمد عمران بوعلية,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,444,423,95.0,يونس عمر منصور فنوش,4615,4615,ابراهيم فتحي ابراهيم عميش,4363,4363,علي رمضان خليل ابوزعكوك,3724,3724,ابوبكر مصطفى علي بعيرة,2724,2724,طارق صقر ادم الجروشي,2709,2709,عادل فرج ابراهيم الطيرة,1983,1983,زياد صالح سالم دغيم,1912,1912,مفتاح مراجع محمد اكويدير,1726,1726,احمد شيهوب ابراهيم الواحدي,1415,1415,عيسى محمد السنوسي العريبي,1363,1363,جلال صالح عبدالسلام الشويهدي,1255,1255,رمضان محمد محمد شمبش,1172,1172,سعد محمد صالح الجازوي,1027,1027,ابراهيم ابوبكر عبدالرحمن الدرسى,1024,1024,عصام عبدالله محمد الجهانى,1016,1016,مصطفى محمد عبدالله الرقيق,923,923,طارق نوري محمد ماضي,914,914,رشيد مصطفى محمد بسيكري,872,872,ادريس محمد رمضان القاضى,857,857,ونيس الشارف العبانى الورفلى,856,856,ناصر صالح طاهر معيوف,751,751,عبدالناصر عبدالحميد حسين نجم,710,710,اشرف عبدالله حسين الساعدي,690,690,بدر علي سليمان موسى,688,688,راضى ابراهيم غيث قنديل,686,686,نجيب احمد منصور اطلوبه,674,674,ابراهيم جمعة صالح العوامي,670,670,عبدالقادر مرعي رجب القنين,641,641,احمد جمعة احمد الاوجلي,622,622,فتح الله بالقاسم حمد العرفي,619,619,فضل الله هارون موسى جبريل,598,598,الصديق سلامة عبدالرحيم الصديق,559,559,محمد عبدالله علي المغيربى,522,522,فرج عمران سالم فرج العمامي,520,520,يحي عطية يونس الصبيحي,483,483,هشام عبدالله مفتاح الورفلي,473,473,عمر احمد عمر العبار,462,462,محمد سليمان محمد الحداد,456,456,رافع عبدالله محمد الفضيل الديفار,453,453,جبريل خير سعيد التارقي,441,441,منعم محمد حسين القماطى,438,438,فرج مفتاح سالم الورفلي,436,436,خليفة يوسف محمد زيو,410,410,احمد الفيتوري امحمد الزائدي,394,394,حسن ابراهيم صالح الشريف,378,378,عادل احمد محمد الفرجاني,356,356,خالد عبدالله خالد عبدالرحمن,351,351,عبدالناصر عبدالعالي عبدالسلام شماطة,347,347,عبدالله عبدالقادر حسن عبدربه العبيدى,343,343,فوزي عبدالحميد احمد الهدار,336,336,خليل ادريس علي المبروك,327,327,صلاح مصطفى محمود بادي,326,326,يونس عمر عطية بن عامر,315,315,طارق السنوسي بوسيف العبيدي,304,304,مفتاح عوض عبدالرحمن الغناي,295,295,ابراهيم احمد امحمد المهدوي,292,292,فتح الله محمد طاهر الدرسى,292,292,محمد مفتاح محمد الساحلي,280,280,ابوبكر محمد ابوبكر علي,278,278,عبدالحميد احمد بوبكر الصديق السوسي,260,260,موسى ذاوود سعيد عبدالرحمن,258,258,محمد مسعود مفتاح مخلوف,253,253,وليد عبدالحميد محمد ماضي,250,250,عمر عبدالعاطي محمد الشبلي,248,248,سليمان محمود سليمان البرعصي,245,245,خالد محمد عمر حمد,242,242,عيسى حسين عيسى الفلاح,235,235,جمعة علي محمد يونس,232,232,فرج حسين فرج العمامي,231,231,محمد سليمان بشير الورفلي,230,230,احمد علي خميس سعيد,219,219,طاهر محمود محمد الفضلى,218,218,موفق محمد سليمان الزوي,218,218,علي ابوعجيلة علي ابوبكر العرفي,215,215,احمد الكيلاني مصباح الفرجاني,212,212,عبدالله حمد عمر الطابوني,209,209,محمود عمر احمد المسماري,205,205,فرحات المبروك محمد الدينالي,204,204,جمال عبدالقادر علي بودجاجة,197,197,علي محمد علي باقو,188,188,عبدالقادر سعيد عبدالقادر الذباح,178,178,عبدالناصر محمد سليمان بومطاري,174,174,عبدالرحيم زنقي بوسيف الجنجان,173,173,يوسف ابراهيم صالح الشريف,169,169,انويجي جمعة انويجي ابوبكر,166,166,سامي عاشور محمد الشريف,155,155,احمد هارون مقاوي العبيدي,153,153,زايد محمود بوبكر العوج,149,149,محمد بوبكر علي الشبلي,146,146,محمد حمد امحمد بن حسونة,143,143,سالم عبدالقادر محمد شقلوف,137,137,عبدالخالق الفضيل سليمان كريم,125,125,ياسين المرخى جادالله الشلوى,118,118,محمد عبدالله محمد بوسدرة,117,117,محمد سالم محمد بوشعالة,117,117,بريك عوض محمد درباش,113,113,علي مخلوف عقيلة مفتاح,108,108,يوسف عبدالسلام محمد بعيو,108,108,فتح الله عقيلة بوبكر المنفي,98,98,نوري عطية محمد بن خيال,98,98,مصطفى علي محمد الهشم,94,94,فوزي ميلاد خليفة العماري,72,72,علي ادريس حمد رابح,64,64,عزالدين محمد حمد عطية الله,62,62,احمد سالم علي السائح,53,53,رمزي الهادي علي الجدي,52,52,فتحي خليفة حمد جلهوم,39,39,عبدو جمعة عبدالقادر الصاوى بالروين,37,37,ايمن حسن محمد احميدة,33,33,فرج محمد محمد الجليطي,32,32,طارق محمود حبيب المسماري,31,31,محمد فرج محمد بشير,20,20,سامي محمد سليمان يونس,10,10
9,47,44,93.0,سعيد خالد عمر اسباقه,419,419,سعد عبدالله ادريس الدينالي,409,409,مفتاح موسى سعد حامد,395,395,بالقاسم احمد مفتاح امراجع,393,393,يوسف ابراهيم محمد حمد,334,334,صالح محمود صالح العبدلى,333,333,محمد عبدالرازق ادريس مفتاح,274,274,اسامة عبدالله محمد ابوبكر,263,263,عبدالله مصطفى عبدالله بوكشارية,186,186,جمال عبدالله عطية عمر,186,186,ابراهيم موسى صالح العبدلي,160,160,حسين محمود خليفة المنفور,152,152,محمد حسين عبدالحميد احسين,90,90,سعد محمد منصور عبدالباري,56,56,فرج رشيد صالح العبدلي,56,56,بالقاسم محمد عبدالجليل ادريس,39,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,66,64,96.0,علي فرج ابراهيم خالد,1308,1308,سعد عبدالقادر عبدالقادر البدري,1213,1213,اسامة محمد عبدالحميد العمروني,881,881,رواد طاهر محمد الصابر,720,720,فرج سليمان عبدالرحيم التاجورى,625,625,هارون محمد عبدالونيس محمد,452,452,عمر صالح محمد صالح,338,338,عوض حسين محمود الفسي,307,307,خالد المهدي يونس يوسف,163,163,محمد عوض هيبة عوض,136,136,عصام محمد ارجيعة مفتاح,120,120,بوبكر مفتاح امنيسي المبروك,90,90,ابراهيم صالح محمد التاعب,89,89,عبدالقادر ادريس الجبالى محمد,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
